# source=last_training_epoch
boundary_label,x,y,phi_pred,phi_target,abs_error
G2,1.00000000,0.37582141,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.36041829,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.46461070,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.07128487,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.20312604,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.20019242,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.69708502,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.82963264,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.67856759,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.23308876,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.31050983,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.80054289,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.31037509,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.23714393,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.99920261,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.04937891,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.84905136,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.40031078,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.48392886,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.59494239,0.00000000e+00,0.00000000e+00,0.00000000e+00
G3,0.50722951,0.00000000,4.92770493e-01,4.92770493e-01,0.00000000e+00
G3,0.14165856,0.00000000,8.58341455e-01,8.58341455e-01,0.00000000e+00
G3,0.85682237,0.00000000,1.43177629e-01,1.43177629e-01,0.00000000e+00
G3,0.61070907,0.00000000,3.89290929e-01,3.89290929e-01,0.00000000e+00
G3,0.02884664,0.00000000,9.71153378e-01,9.71153378e-01,0.00000000e+00
G3,0.34860891,0.00000000,6.51391089e-01,6.51391089e-01,0.00000000e+00
G3,0.55694348,0.00000000,4.43056524e-01,4.43056524e-01,0.00000000e+00
G3,0.25209597,0.00000000,7.47904062e-01,7.47904062e-01,0.00000000e+00
G3,0.78645355,0.00000000,2.13546455e-01,2.13546455e-01,0.00000000e+00
G3,0.18035859,0.00000000,8.19641411e-01,8.19641411e-01,0.00000000e+00
G3,0.13630150,0.00000000,8.63698483e-01,8.63698483e-01,0.00000000e+00
G3,0.83069754,0.00000000,1.69302464e-01,1.69302464e-01,0.00000000e+00
G3,0.18281843,0.00000000,8.17181587e-01,8.17181587e-01,0.00000000e+00
G3,0.14447513,0.00000000,8.55524898e-01,8.55524898e-01,0.00000000e+00
G3,0.76034689,0.00000000,2.39653111e-01,2.39653111e-01,0.00000000e+00
G3,0.64442664,0.00000000,3.55573356e-01,3.55573356e-01,0.00000000e+00
G3,0.94222832,0.00000000,5.77716827e-02,5.77716827e-02,0.00000000e+00
G3,0.64281285,0.00000000,3.57187152e-01,3.57187152e-01,0.00000000e+00
G3,0.89919144,0.00000000,1.00808561e-01,1.00808561e-01,0.00000000e+00
G3,0.92103779,0.00000000,7.89622068e-02,7.89622068e-02,0.00000000e+00
G3,0.86524403,0.00000000,1.34755969e-01,1.34755969e-01,0.00000000e+00
G3,0.63539422,0.00000000,3.64605784e-01,3.64605784e-01,0.00000000e+00
G3,0.17438971,0.00000000,8.25610280e-01,8.25610280e-01,0.00000000e+00
G3,0.60633969,0.00000000,3.93660307e-01,3.93660307e-01,0.00000000e+00
G3,0.51924568,0.00000000,4.80754316e-01,4.80754316e-01,0.00000000e+00
G3,0.95715368,0.00000000,4.28463221e-02,4.28463221e-02,0.00000000e+00
G3,0.67185122,0.00000000,3.28148782e-01,3.28148782e-01,0.00000000e+00
G3,0.86664200,0.00000000,1.33358002e-01,1.33358002e-01,0.00000000e+00
G3,0.17020613,0.00000000,8.29793870e-01,8.29793870e-01,0.00000000e+00
G3,0.63233095,0.00000000,3.67669046e-01,3.67669046e-01,0.00000000e+00
G3,0.21862508,0.00000000,7.81374931e-01,7.81374931e-01,0.00000000e+00
G3,0.72662371,0.00000000,2.73376286e-01,2.73376286e-01,0.00000000e+00
G3,0.42001545,0.00000000,5.79984546e-01,5.79984546e-01,0.00000000e+00
G3,0.90954691,0.00000000,9.04530883e-02,9.04530883e-02,0.00000000e+00
G3,0.80548847,0.00000000,1.94511533e-01,1.94511533e-01,0.00000000e+00
G3,0.69399685,0.00000000,3.06003153e-01,3.06003153e-01,0.00000000e+00
G3,0.50394523,0.00000000,4.96054769e-01,4.96054769e-01,0.00000000e+00
G3,0.67872447,0.00000000,3.21275532e-01,3.21275532e-01,0.00000000e+00
G3,0.95950192,0.00000000,4.04980779e-02,4.04980779e-02,0.00000000e+00
G3,0.39219168,0.00000000,6.07808352e-01,6.07808352e-01,0.00000000e+00
G3,0.35374111,0.00000000,6.46258891e-01,6.46258891e-01,0.00000000e+00
G3,0.59570396,0.00000000,4.04296041e-01,4.04296041e-01,0.00000000e+00
G3,0.50553191,0.00000000,4.94468093e-01,4.94468093e-01,0.00000000e+00
G3,0.51756048,0.00000000,4.82439518e-01,4.82439518e-01,0.00000000e+00
G3,0.97265267,0.00000000,2.73473263e-02,2.73473263e-02,0.00000000e+00
G3,0.72941518,0.00000000,2.70584822e-01,2.70584822e-01,0.00000000e+00
G3,0.18573278,0.00000000,8.14267218e-01,8.14267218e-01,0.00000000e+00
G3,0.61592048,0.00000000,3.84079516e-01,3.84079516e-01,0.00000000e+00
