point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,2.3626373708e-01,5.4945056327e-03,7.6380705833e-01,nan,nan,-9.2236943543e-02,8.5076540709e-03,1.0215383023e-02,1.0008604527e+00,1.0008604527e+00,1.2342296541e-02
interior,,2.4175824225e-01,5.4945056327e-03,7.5830972195e-01,nan,nan,-8.9035108685e-02,7.9272501171e-03,1.0216594674e-02,1.0009379387e+00,1.0009379387e+00,1.2198407203e-02
interior,,2.4725274742e-01,5.4945056327e-03,7.5281214714e-01,nan,nan,-8.5833363235e-02,7.3673664592e-03,1.0216380470e-02,1.0009242296e+00,1.0009242296e+00,1.2058222084e-02
interior,,2.5274726748e-01,5.4945056327e-03,7.4731469154e-01,nan,nan,-8.2891672850e-02,6.8710292690e-03,1.0214556009e-02,1.0008075237e+00,1.0008075237e+00,1.1932313326e-02
interior,,2.5824177265e-01,5.4945056327e-03,7.4181735516e-01,nan,nan,-7.9623773694e-02,6.3399453647e-03,1.0215338320e-02,1.0008577108e+00,1.0008577108e+00,1.1800324661e-02
interior,,2.6373627782e-01,5.4945056327e-03,7.3632013798e-01,nan,nan,-7.7055536211e-02,5.9375558048e-03,1.0212933645e-02,1.0007038116e+00,1.0007038116e+00,1.1697322596e-02
interior,,2.6923078299e-01,5.4945056327e-03,7.3082298040e-01,nan,nan,-7.4596934021e-02,5.5647026747e-03,1.0213550180e-02,1.0007432699e+00,1.0007432699e+00,1.1604725849e-02
interior,,2.7472528815e-01,5.4945056327e-03,7.2532570362e-01,nan,nan,-7.1555107832e-02,5.1201335154e-03,1.0214249603e-02,1.0007879734e+00,1.0007879734e+00,1.1494282982e-02
interior,,2.8021979332e-01,5.4945056327e-03,7.1982854605e-01,nan,nan,-6.9944240153e-02,4.8921965063e-03,1.0211212561e-02,1.0005937815e+00,1.0005937815e+00,1.1434261687e-02
interior,,2.8571429849e-01,5.4945056327e-03,7.1433198452e-01,nan,nan,-6.6684007645e-02,4.4467570260e-03,1.0211373679e-02,1.0006040335e+00,1.0006040335e+00,1.1323062936e-02
interior,,2.9120880365e-01,5.4945056327e-03,7.0883518457e-01,nan,nan,-6.4240045846e-02,4.1267834604e-03,1.0211125016e-02,1.0005880594e+00,1.0005880594e+00,1.1242820881e-02
interior,,2.9670330882e-01,5.4945056327e-03,7.0333850384e-01,nan,nan,-6.2053319067e-02,3.8506144192e-03,1.0210982524e-02,1.0005789995e+00,1.0005789995e+00,1.1173636129e-02
interior,,3.0219781399e-01,5.4945056327e-03,6.9784188271e-01,nan,nan,-5.9844989330e-02,3.5814228468e-03,1.0209904984e-02,1.0005100965e+00,1.0005100965e+00,1.1105260695e-02
interior,,3.0769231915e-01,5.4945056327e-03,6.9234526157e-01,nan,nan,-5.7689450681e-02,3.3280726057e-03,1.0210783221e-02,1.0005662441e+00,1.0005662441e+00,1.1042801372e-02
interior,,3.1318682432e-01,5.4945056327e-03,6.8684858084e-01,nan,nan,-5.5762283504e-02,3.1094322912e-03,1.0210052133e-02,1.0005195141e+00,1.0005195141e+00,1.0987410205e-02
interior,,3.1868132949e-01,5.4945056327e-03,6.8135190010e-01,nan,nan,-5.3476113826e-02,2.8596946504e-03,1.0209672153e-02,1.0004951954e+00,1.0004951954e+00,1.0924595816e-02
interior,,3.2417583466e-01,5.4945056327e-03,6.7585545778e-01,nan,nan,-5.1229692996e-02,2.6244814508e-03,1.0208651423e-02,1.0004298687e+00,1.0004298687e+00,1.0864771786e-02
interior,,3.2967033982e-01,5.4945056327e-03,6.7035901546e-01,nan,nan,-4.9606528133e-02,2.4608075619e-03,1.0209377855e-02,1.0004763603e+00,1.0004763603e+00,1.0824579746e-02
interior,,3.3516484499e-01,5.4945056327e-03,6.6486251354e-01,nan,nan,-4.7399975359e-02,2.2467577364e-03,1.0208548047e-02,1.0004231930e+00,1.0004231930e+00,1.0770237481e-02
interior,,3.4065935016e-01,5.4945056327e-03,6.5936619043e-01,nan,nan,-4.5493040234e-02,2.0696166903e-03,1.0208085179e-02,1.0003937483e+00,1.0003937483e+00,1.0725489352e-02
interior,,3.4615385532e-01,5.4945056327e-03,6.5386998653e-01,nan,nan,-4.3807283044e-02,1.9190780586e-03,1.0207789019e-02,1.0003746748e+00,1.0003746748e+00,1.0687558533e-02
interior,,3.5164836049e-01,5.4945056327e-03,6.4837384224e-01,nan,nan,-4.2223032564e-02,1.7827844713e-03,1.0207990184e-02,1.0003875494e+00,1.0003875494e+00,1.0653686302e-02
interior,,3.5714286566e-01,5.4945056327e-03,6.4287757874e-01,nan,nan,-4.0194056928e-02,1.6155622434e-03,1.0208343156e-02,1.0004100800e+00,1.0004100800e+00,1.0612233717e-02
interior,,3.6263737082e-01,5.4945056327e-03,6.3738107681e-01,nan,nan,-3.9025578648e-02,1.5229957644e-03,1.0207771324e-02,1.0003734827e+00,1.0003734827e+00,1.0588520265e-02
interior,,3.6813187599e-01,5.4945056327e-03,6.3188511133e-01,nan,nan,-3.6970861256e-02,1.3668446336e-03,1.0207009502e-02,1.0003248453e+00,1.0003248453e+00,1.0548720660e-02
interior,,3.7362638116e-01,5.4945056327e-03,6.2638902664e-01,nan,nan,-3.5165507346e-02,1.2366129085e-03,1.0206926614e-02,1.0003194809e+00,1.0003194809e+00,1.0516079841e-02
interior,,3.7912088633e-01,5.4945056327e-03,6.2089323997e-01,nan,nan,-3.3253699541e-02,1.1058085365e-03,1.0205957107e-02,1.0002574921e+00,1.0002574921e+00,1.0482409241e-02
interior,,3.8461539149e-01,5.4945056327e-03,6.1539709568e-01,nan,nan,-3.2096900046e-02,1.0302109877e-03,1.0207639076e-02,1.0003650188e+00,1.0003650188e+00,1.0465191823e-02
interior,,3.9010989666e-01,5.4945056327e-03,6.0990077257e-01,nan,nan,-3.0169492587e-02,9.1019825777e-04,1.0206611827e-02,1.0002993345e+00,1.0002993345e+00,1.0434161391e-02
interior,,3.9560440183e-01,5.4945056327e-03,6.0440480709e-01,nan,nan,-2.8649531305e-02,8.2079565618e-04,1.0206704959e-02,1.0003052950e+00,1.0003052950e+00,1.0411903873e-02
interior,,4.0109890699e-01,5.4945056327e-03,5.9890866280e-01,nan,nan,-2.7383111417e-02,7.4983481318e-04,1.0206412524e-02,1.0002865791e+00,1.0002865791e+00,1.0393871227e-02
interior,,4.0659341216e-01,5.4945056327e-03,5.9341275692e-01,nan,nan,-2.5587376207e-02,6.5471383277e-04,1.0206361301e-02,1.0002833605e+00,1.0002833605e+00,1.0370039759e-02
interior,,4.1208791733e-01,5.4945056327e-03,5.8791673183e-01,nan,nan,-2.4026604369e-02,5.7727773674e-04,1.0206593201e-02,1.0002981424e+00,1.0002981424e+00,1.0350912635e-02
interior,,4.1758242249e-01,5.4945056327e-03,5.8242064714e-01,nan,nan,-2.2445756942e-02,5.0381198525e-04,1.0206241161e-02,1.0002756119e+00,1.0002756119e+00,1.0332194157e-02
interior,,4.2307692766e-01,5.4945056327e-03,5.7692468166e-01,nan,nan,-2.0980177447e-02,4.4016784523e-04,1.0206609964e-02,1.0002992153e+00,1.0002992153e+00,1.0316651926e-02
interior,,4.2857143283e-01,5.4945056327e-03,5.7142853737e-01,nan,nan,-1.9601661712e-02,3.8422513171e-04,1.0206243023e-02,1.0002758503e+00,1.0002758503e+00,1.0302299306e-02
interior,,4.3406593800e-01,5.4945056327e-03,5.6593281031e-01,nan,nan,-1.8201503903e-02,3.3129475196e-04,1.0205221362e-02,1.0002102852e+00,1.0002102852e+00,1.0288045050e-02
interior,,4.3956044316e-01,5.4945056327e-03,5.6043714285e-01,nan,nan,-1.6733027995e-02,2.7999421582e-04,1.0205397382e-02,1.0002217293e+00,1.0002217293e+00,1.0275395936e-02
interior,,4.4505494833e-01,5.4945056327e-03,5.5494129658e-01,nan,nan,-1.5161542222e-02,2.2987235570e-04,1.0206107050e-02,1.0002670288e+00,1.0002670288e+00,1.0263575139e-02
interior,,4.5054945350e-01,5.4945056327e-03,5.4944527149e-01,nan,nan,-1.4009433798e-02,1.9626424182e-04,1.0205820203e-02,1.0002486706e+00,1.0002486706e+00,1.0254886263e-02
interior,,4.5604395866e-01,5.4945056327e-03,5.4394972324e-01,nan,nan,-1.2643364258e-02,1.5985466598e-04,1.0205338709e-02,1.0002179146e+00,1.0002179146e+00,1.0245302376e-02
