point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,2.6923078299e-01,5.4945056327e-03,7.3072314189e-01,nan,nan,1.0044527166e-01,1.0089252599e-02,1.8823348172e-01,9.9978620468e-01,9.9978620468e-01,1.0089252599e-02
interior,,2.7472528815e-01,5.4945056327e-03,7.2522948048e-01,nan,nan,7.4025346436e-02,5.4797519150e-03,1.8829850711e-01,9.9999265889e-01,9.9999265889e-01,5.4797519150e-03
interior,,2.8021979332e-01,5.4945056327e-03,7.1973447416e-01,nan,nan,3.8212826365e-02,1.4602200988e-03,1.8838018664e-01,1.0002519594e+00,1.0002519594e+00,1.4602200988e-03
interior,,2.8571429849e-01,5.4945056327e-03,7.1423828435e-01,nan,nan,-5.5720783256e-03,3.1048056867e-05,1.8842820190e-01,1.0004043734e+00,1.0004043734e+00,3.1048056867e-05
interior,,2.9120880365e-01,5.4945056327e-03,7.0874167564e-01,nan,nan,-3.4961858843e-02,1.2223315738e-03,1.8842945177e-01,1.0004083407e+00,1.0004083407e+00,1.2223315738e-03
interior,,2.9670330882e-01,5.4945056327e-03,7.0324562854e-01,nan,nan,-7.4130061565e-02,5.4952660276e-03,1.8835942599e-01,1.0001860557e+00,1.0001860557e+00,5.4952660276e-03
interior,,3.0219781399e-01,5.4945056327e-03,6.9775152997e-01,nan,nan,-9.9161770477e-02,9.8330567240e-03,1.8821361623e-01,9.9972312793e-01,9.9972312793e-01,9.8330567240e-03
interior,,3.0769231915e-01,5.4945056327e-03,6.9226009537e-01,nan,nan,-7.6145890511e-02,5.7981966417e-03,1.8806748425e-01,9.9925906960e-01,9.9925906960e-01,5.7981966417e-03
interior,,3.1318682432e-01,5.4945056327e-03,6.8677053814e-01,nan,nan,-2.1130933212e-02,4.4651633842e-04,1.8800748970e-01,9.9906851903e-01,9.9906851903e-01,4.4651633842e-04
interior,,3.1868132949e-01,5.4945056327e-03,6.8128081801e-01,nan,nan,5.5350695496e-02,3.0636994919e-03,1.8808609055e-01,9.9931816197e-01,9.9931816197e-01,3.0636994919e-03
interior,,3.2417583466e-01,5.4945056327e-03,6.7578863672e-01,nan,nan,1.2644242340e-01,1.5987686434e-02,1.8827466260e-01,9.9991695555e-01,9.9991695555e-01,1.5987686434e-02
interior,,3.2967033982e-01,5.4945056327e-03,6.7029296352e-01,nan,nan,1.5544328968e-01,2.4162616308e-02,1.8846644821e-01,1.0005257697e+00,1.0005257697e+00,2.4162616308e-02
interior,,3.3516484499e-01,5.4945056327e-03,6.6479470548e-01,nan,nan,1.4107535225e-01,1.9902255012e-02,1.8856193833e-01,1.0008288294e+00,1.0008288294e+00,1.9902255012e-02
interior,,3.4065935016e-01,5.4945056327e-03,6.5929586986e-01,nan,nan,1.1167775696e-01,1.2471921399e-02,1.8853887040e-01,1.0007556222e+00,1.0007556222e+00,1.2471921399e-02
