# source=last_training_epoch
boundary_label,x,y,phi_pred,phi_target,abs_error
G2,1.00000000,0.25053701,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.92464763,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.88257283,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.57705450,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.52194262,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.03715355,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.18306123,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.27114129,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.91002631,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.47671339,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.33986077,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.56935918,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.86047852,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.02216183,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.19425075,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.03013416,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.35951987,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.01095866,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.40004918,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.67346781,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.70043886,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.66586792,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.13362435,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.86572915,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.62228066,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.98038524,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.72244406,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.93849522,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.05724382,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.50445092,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.67507178,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.73034960,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.76454514,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.82708603,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.98973274,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.85553002,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.08910374,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.99089915,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.62719572,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.10920621,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.15342459,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.21616662,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.84448701,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.30684778,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.91504437,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.94008958,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.67590106,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.53404450,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.35571215,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.59249800,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.43796080,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.74205029,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.37837747,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.57198083,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.11423045,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.91832793,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.84028935,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.17793229,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.03828735,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.68552464,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.30117613,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.56824905,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.54948813,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.58672953,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.55741274,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.75578099,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.01619392,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.90192819,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.58448052,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.41050482,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.06949115,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.57685387,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.17330660,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.24030507,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.84966809,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.57496160,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.85040408,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.30178174,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.49148038,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.00568787,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.64158595,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.59197003,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.09656720,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.01434631,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.22674669,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.29247531,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.29510108,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.83833987,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.23981611,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.77817357,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.96698684,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.62339365,0.00000000e+00,0.00000000e+00,0.00000000e+00
G2,1.00000000,0.53246510,0.00000000e+00,0.00000000e+00,0.00000000e+00
G3,0.30057621,0.00000000,6.99423790e-01,6.99423790e-01,0.00000000e+00
G3,0.32827881,0.00000000,6.71721190e-01,6.71721190e-01,0.00000000e+00
